ObjectName,FieldName,Metadata
SVMXC__Service_Order_Line__c,SVMXC__Service_Order__c,Service Order Work Order Service order number. Is a lookup to an existing service order in ServiceMax
SVMXC__Service_Order_Line__c,SVMXC__Activity_Type__c,Activity Type Activity Type Indicates the type of activity performed. Usually applicable for labor line types.
SVMXC__Service_Order_Line__c,SVMXC__Actual_Price2__c,Actual Price2 Line Price Per Unit Unit price for this line
SVMXC__Service_Order_Line__c,SVMXC__Actual_Quantity2__c,Actual Quantity2 Line Qty Number of units consumed. This is context-sensitive based on line type.
SVMXC__Service_Order_Line__c,SVMXC__Applied_Rate_Type__c,Applied Rate Type Applied Rate Type 
SVMXC__Service_Order_Line__c,SVMXC__Billable_Line_Price__c,Billable Line Price Billable Line Price Total price for this parts/labor/expense/travel line
SVMXC__Service_Order_Line__c,SVMXC__Billable_Quantity__c,"Billable Quantity Billable Qty Quantity of part, time, expenses or travel that needs to be invoiced. This is context-sensitive. For example: Quantity for Travel expense might be 500 (miles)"
SVMXC__Service_Order_Line__c,SVMXC__Billing_Information__c,"Billing Information Billing Information States how ""Get Price"" functionality arrived with the billable line price for the line."
SVMXC__Service_Order_Line__c,SVMXC__Canceled_By__c,Canceled By Canceled By User that canceled this parts request. This is set automatically when a user cancels a parts request.
SVMXC__Service_Order_Line__c,SVMXC__Canceled_On__c,Canceled On Canceled On Date/time when this service order parts request was canceled. This is set automatically when a user cancels a parts request.
SVMXC__Service_Order_Line__c,SVMXC__Closed_By__c,Closed By Closed By User that closed the service order line. This is set automatically when parts are received.
SVMXC__Service_Order_Line__c,SVMXC__Closed_On__c,Closed On Closed On Date/time when this service order line was closed. This is set automatically when parts are received.
SVMXC__Service_Order_Line__c,SVMXC__Consumed_From_Location__c,Consumed From Location Consumed From Location Location from which inventory was consumed. Link to an existing site record in ServiceMax
SVMXC__Service_Order_Line__c,SVMXC__Cost_Category__c,Cost Category Cost Category Type of costing applied to calculate the actual line price
SVMXC__Service_Order_Line__c,SVMXC__Covered__c,Covered Covered % 
SVMXC__Service_Order_Line__c,SVMXC__Date_Received__c,Date Received Date Received Date when this product was actually received. Use last receipt date if multiple receipts are made for the same request.
SVMXC__Service_Order_Line__c,SVMXC__Date_Requested__c,Date Requested Date Required Date when this product is required at the field/target location.
SVMXC__Service_Order_Line__c,SVMXC__Dead_Time__c,Dead Time Dead Time (In Minutes) 
SVMXC__Service_Order_Line__c,SVMXC__Discount__c,Discount Discount % Work Order Line Discount Percentage
SVMXC__Service_Order_Line__c,SVMXC__End_Date_and_Time__c,End Date and Time End Date and Time End date and time if the line type is Labor
SVMXC__Service_Order_Line__c,SVMXC__Entitlement_Notes__c,Entitlement Notes Entitlement Notes 
SVMXC__Service_Order_Line__c,SVMXC__Estimated_Price2__c,Estimated Price2 Estimated Price Per Unit Total estimated price for this parts/labor/expense line
SVMXC__Service_Order_Line__c,SVMXC__Estimated_Quantity2__c,"Estimated Quantity2 Estimated Qty Quantity of part, time or expenses to be used. This is context-sensitive. For example: Quantity for Travel expense might be 500 (miles)"
SVMXC__Service_Order_Line__c,SVMXC__Expense_Type__c,"Expense Type Expense Type Type of expense likely to be incurred, if the line type is Expenses"
SVMXC__Service_Order_Line__c,SVMXC__From_Location__c,From Location From Location From Location
SVMXC__Service_Order_Line__c,SVMXC__Group_Member__c,Group Member Technician/Equipment Name of the service group member if the Log Against is set to Group Member. Is a lookup to an existing group member in ServiceMax
SVMXC__Service_Order_Line__c,SVMXC__Include_in_Quote__c,"Include in Quote Include in Quote Indicates if this expense is covered by a warranty/contract, or should be quoted to customer for approval"
SVMXC__Service_Order_Line__c,SVMXC__Is_Billable__c,Is Billable Is Billable Indicates if this usage/consumption is billable to the customer
SVMXC__Service_Order_Line__c,SVMXC__Is_Entitlement_Performed__c,Is Entitlement Performed Is Entitlement Performed? 
SVMXC__Service_Order_Line__c,SVMXC__Line_Status__c,Line Status Line Status Service Order Line Status.
SVMXC__Service_Order_Line__c,SVMXC__Line_Type__c,Line Type Line Type 
SVMXC__Service_Order_Line__c,SVMXC__Log_Against__c,"Log Against Log Against For internal accounting purposes, indicate if this expense/activity is tracked at the service group level or at the group member level"
SVMXC__Service_Order_Line__c,SVMXC__Posted_To_Inventory__c,Posted To Inventory Posted To Inventory Indicates if quantity from this service order line has been posted to inventory or not. This is applicable for Part Requests and Usage/Consumption records in a service order.
SVMXC__Service_Order_Line__c,SVMXC__Product_Warranty__c,Product Warranty Product Warranty 
SVMXC__Service_Order_Line__c,SVMXC__Product__c,"Product Part Name of the product estimated, requested or used. Is a lookup to an existing salesforce product record"
SVMXC__Service_Order_Line__c,SVMXC__Quantity_Shipment_Initiated2__c,"Quantity Shipment Initiated2 Qty Shipment Initiated For part requests, quantity for which shipment has been initiated so far."
SVMXC__Service_Order_Line__c,SVMXC__Quantity_Shipped2__c,"Quantity Shipped2 Qty Shipped For part requests, actual quantity shipped for the request."
SVMXC__Service_Order_Line__c,SVMXC__Received_City__c,Received City Received City “City” part of the received location
SVMXC__Service_Order_Line__c,SVMXC__Received_Country__c,Received Country Received Country “Country” part of the received location
SVMXC__Service_Order_Line__c,SVMXC__Received_Location__c,Received Location Received Location (Do Not Use) Received Location (Do Not Use)
SVMXC__Service_Order_Line__c,SVMXC__Received_Quantity2__c,Received Quantity2 Received Qty Number of units of this product received so far.
SVMXC__Service_Order_Line__c,SVMXC__Received_State__c,Received State Received State “State/Province” part of the received location
SVMXC__Service_Order_Line__c,SVMXC__Received_Street__c,Received Street Received Street “Street” part of the received location
SVMXC__Service_Order_Line__c,SVMXC__Received_Zip__c,Received Zip Received Zip “Zip/Postal code” part of the received location
SVMXC__Service_Order_Line__c,SVMXC__Reference_Information__c,"Reference Information Reference Information Additional information about the work performed, or expense incurred (travel ticket # for example)"
SVMXC__Service_Order_Line__c,SVMXC__Requested_City__c,Requested City Requested City “City” part of the requested location
SVMXC__Service_Order_Line__c,SVMXC__Requested_Country__c,Requested Country Requested Country “Country” part of the requested location
SVMXC__Service_Order_Line__c,SVMXC__Requested_Location__c,Requested Location To Location To Location
SVMXC__Service_Order_Line__c,SVMXC__Requested_Quantity2__c,Requested Quantity2 Requested Qty Number of units of this product required
SVMXC__Service_Order_Line__c,SVMXC__Requested_State__c,Requested State Requested State “State/Province” part of the requested location
SVMXC__Service_Order_Line__c,SVMXC__Requested_Street__c,Requested Street Requested Street “Street” part of the requested location
SVMXC__Service_Order_Line__c,SVMXC__Requested_Zip__c,Requested Zip Requested Zip “Zip/Postal code” part of the requested location
SVMXC__Service_Order_Line__c,SVMXC__Select__c,Select Select Field to bind checkbox in List of Work Detail records on Visualforce page with controller.
SVMXC__Service_Order_Line__c,SVMXC__Serial_Number_List__c,Serial Number List Serial Number Unique identification of a product. This field is intended to be used when Inventory Process in SFM API Configuration is enabled.
SVMXC__Service_Order_Line__c,SVMXC__Serial_Number__c,Serial Number IB Serial Number 
SVMXC__Service_Order_Line__c,SVMXC__Service_Group__c,Service Group Service Team Name of the service group if the Log Against is set to Service Group. Is a lookup to an existing service group in ServiceMax
SVMXC__Service_Order_Line__c,SVMXC__Service_Maintenance_Contract__c,Service Maintenance Contract Service/Maintenance Contract 
SVMXC__Service_Order_Line__c,SVMXC__Start_Date_and_Time__c,Start Date and Time Start Date and Time Start date and time if the line type is Labor
SVMXC__Service_Order_Line__c,SVMXC__Total_Estimated_Price__c,Total Estimated Price Total Estimated Price 
SVMXC__Service_Order_Line__c,SVMXC__Total_Line_Price__c,Total Line Price Total Line Price 
SVMXC__Service_Order_Line__c,SVMXC__Transaction_Results__c,Transaction Results Transaction Results Success or error message as a result of a transaction. This message is derived from executing a defined process in SFM API Configuration.
SVMXC__Service_Order_Line__c,SVMXC__Use_Price_From_Pricebook__c,"Use Price From Pricebook Use Price From Pricebook/Contract Leave this box checked if you want the price to be filled automatically from the default price book. If you like to enter a price manually for this part, simply uncheck this box."
SVMXC__Service_Order_Line__c,SVMXC__Work_Description__c,Work Description Work Description An assessment of work to be performed or additional details about the line type
SVMXC__Service_Order_Line__c,SVMXC__Work_Detail__c,Work Detail Work Detail 
SVMXC__Service_Order_Line__c,SVMXC__SM_Batch_Lot__c,SM Batch Lot Batch/Lot - DO NOT USE 
SVMXC__Service_Order_Line__c,SVMXC__SM_Batch_Lot2__c,SM Batch Lot2 Batch/Lot Identification number assigned to a specific quantity or lot of materials from a single manufacturer.
SVMXC__Service_Order_Line__c,SVMXC__SM_Overtime__c,SM Overtime Overtime Indicates work done outside of regular work hours.
SVMXC__Service_Order_Line__c,SVMXC__SM_Total_Cost__c,SM Total Cost Total Cost Total price of the line item which is Unit Cost * Line Quantity.
SVMXC__Service_Order_Line__c,SVMXC__SM_Unit_Cost__c,SM Unit Cost Unit Cost Unit price of the line item.
SVMXC__Service_Group_Members__c,Id,Id Record ID 
SVMXC__Service_Group_Members__c,IsDeleted,IsDeleted Deleted 
SVMXC__Service_Group_Members__c,Name,Name Member Name 
SVMXC__Service_Group_Members__c,CreatedDate,CreatedDate Created Date 
SVMXC__Service_Group_Members__c,CreatedById,CreatedById Created By ID 
SVMXC__Service_Group_Members__c,LastModifiedDate,LastModifiedDate Last Modified Date 
SVMXC__Service_Group_Members__c,LastModifiedById,LastModifiedById Last Modified By ID 
SVMXC__Service_Group_Members__c,SystemModstamp,SystemModstamp System Modstamp 
SVMXC__Service_Group_Members__c,LastActivityDate,LastActivityDate Last Activity Date 
SVMXC__Service_Group_Members__c,LastViewedDate,LastViewedDate Last Viewed Date 
SVMXC__Service_Group_Members__c,LastReferencedDate,LastReferencedDate Last Referenced Date 
SVMXC__Service_Group_Members__c,SVMXC__Service_Group__c,Service Group Service Team Name of the service group. Is a lookup to an existing service group in ServiceMax
SVMXC__Service_Group_Members__c,SVMXC__Active__c,Active Active Flag indicates if this member is active and available for service order assignments. This flag does not drive any functionality in ServiceMax and is for informational purposes only
SVMXC__Service_Group_Members__c,SVMXC__Average_Drive_Time__c,Average Drive Time Average Drive Time 
SVMXC__Service_Group_Members__c,SVMXC__Average_Speed__c,Average Speed Average Speed 
SVMXC__Service_Group_Members__c,SVMXC__Break_Duration__c,Break Duration Break Duration 
SVMXC__Service_Group_Members__c,SVMXC__Break_Hours__c,Break Hours Break Hours 
SVMXC__Service_Group_Members__c,SVMXC__Break_Type__c,Break Type Break Type 
SVMXC__Service_Group_Members__c,SVMXC__City__c,City City “City” part of the technician's address
SVMXC__Service_Group_Members__c,SVMXC__Country__c,Country Country “Country” part of the technician's address
SVMXC__Service_Group_Members__c,SVMXC__Email__c,Email Email Email of the technician
SVMXC__Service_Group_Members__c,SVMXC__Enable_Scheduling__c,Enable Scheduling Enable Scheduling 
SVMXC__Service_Group_Members__c,SVMXC__Fixed_Cost__c,Fixed Cost Fixed Cost 
SVMXC__Service_Group_Members__c,SVMXC__Inventory_Location__c,Inventory Location Inventory Location 
SVMXC__Service_Group_Members__c,SVMXC__Latitude_Home__c,Latitude Home Home Latitude Home address location north or south of the equator.
SVMXC__Service_Group_Members__c,SVMXC__Latitude__c,Latitude Current Latitude Address location north or south of the equator.
SVMXC__Service_Group_Members__c,SVMXC__Latlong_Captured_On__c,Latlong Captured On Latlong Captured On 
SVMXC__Service_Group_Members__c,SVMXC__Longitude_Home__c,Longitude Home Home Longitude Home address  east west geographic coordinate measurement.
SVMXC__Service_Group_Members__c,SVMXC__Longitude__c,Longitude Current Longitude East west geographic coordinate measurement.
SVMXC__Service_Group_Members__c,SVMXC__Max_Daily_Hours__c,Max Daily Hours Max Daily Hours 
SVMXC__Service_Group_Members__c,SVMXC__Max_Distance__c,Max Distance Max Distance 
SVMXC__Service_Group_Members__c,SVMXC__Max_Hours__c,Max Hours Max Hours 
SVMXC__Service_Group_Members__c,SVMXC__Member_information__c,Member information Member information Additional information about the member relevant to service delivery
SVMXC__Service_Group_Members__c,SVMXC__Optimizer_External_ID__c,Optimizer External ID Optimizer External Identifier Some identifier from the external scheduling optimizer to link the Technician
SVMXC__Service_Group_Members__c,SVMXC__Overtime_Hours__c,Overtime Hours Overtime Hours 
SVMXC__Service_Group_Members__c,SVMXC__Per_Hour_Cost__c,Per Hour Cost Per Hour Cost 
SVMXC__Service_Group_Members__c,SVMXC__Per_Mile_Cost__c,Per Mile Cost Per Mile Cost 
SVMXC__Service_Group_Members__c,SVMXC__Phone__c,Phone Phone Telephone number of the technician
SVMXC__Service_Group_Members__c,SVMXC__Role__c,Role Role Role of the member in the group.
SVMXC__Service_Group_Members__c,SVMXC__SM_Overnight_Stay_Policy__c,SM Overnight Stay Policy Overnight Stay Policy look up field for overnight policy in the technician object
SVMXC__Service_Group_Members__c,SVMXC__Salesforce_User__c,Salesforce User Salesforce User Lookup to an existing salesforce User.
SVMXC__Service_Group_Members__c,SVMXC__Select__c,Select Select 
SVMXC__Service_Group_Members__c,SVMXC__Service_Territory__c,Service Territory Service Territory 
SVMXC__Service_Group_Members__c,SVMXC__State__c,State State “State” part of the technician's address
SVMXC__Service_Group_Members__c,SVMXC__Street__c,Street Street “Street” part of the technician's address
SVMXC__Service_Group_Members__c,SVMXC__Third_Party__c,Third Party Third Party Indicates if the technician is a salesforce user or third party vendor
SVMXC__Service_Group_Members__c,SVMXC__Working_Hours__c,Working Hours Working Hours 
SVMXC__Service_Group_Members__c,SVMXC__Zip__c,Zip Zip “Zip code” part of the technician's address
SVMXC__Service_Group_Members__c,SVMXC__Efficiency_Factor__c,Efficiency Factor Efficiency Factor 
SVMXC__Service_Group_Members__c,SVMXC__SM_Efficiency_Factor__c,SM Efficiency Factor Efficiency Factor Technician work efficiency factor
SVMXC__Installed_Product__c,Id,Id Record ID 
SVMXC__Installed_Product__c,OwnerId,OwnerId Owner ID 
SVMXC__Installed_Product__c,IsDeleted,IsDeleted Deleted 
SVMXC__Installed_Product__c,Name,Name Installed Product ID 
SVMXC__Installed_Product__c,CreatedDate,CreatedDate Created Date 
SVMXC__Installed_Product__c,CreatedById,CreatedById Created By ID 
SVMXC__Installed_Product__c,LastModifiedDate,LastModifiedDate Last Modified Date 
SVMXC__Installed_Product__c,LastModifiedById,LastModifiedById Last Modified By ID 
SVMXC__Installed_Product__c,SystemModstamp,SystemModstamp System Modstamp 
SVMXC__Installed_Product__c,LastActivityDate,LastActivityDate Last Activity Date 
SVMXC__Installed_Product__c,LastViewedDate,LastViewedDate Last Viewed Date 
SVMXC__Installed_Product__c,LastReferencedDate,LastReferencedDate Last Referenced Date 
SVMXC__Installed_Product__c,SVMXC__Access_Hours__c,Access Hours Access Hours 
SVMXC__Installed_Product__c,SVMXC__Alternate_Company__c,Alternate Company Alternate Account Free text to indicate if another company is involved with this product but is not an existing customer record
SVMXC__Installed_Product__c,SVMXC__Asset_Tag__c,"Asset Tag Asset Tag Another way to identify the installed product. Asset tags are normally assigned by your customers. When your customer calls for support, they can identify the product by their asset tag instead of trying to locate your serial number on the product."
SVMXC__Installed_Product__c,SVMXC__Business_Hours__c,Business Hours Business Hours (Do Not Use) (Do Not Use)
SVMXC__Installed_Product__c,SVMXC__City__c,City City “City” part of the physical location address
SVMXC__Installed_Product__c,SVMXC__Company__c,Company Account Name of the customer account for this installed product. Lookup to an existing salesforce account record
SVMXC__Installed_Product__c,SVMXC__Contact__c,Contact Contact Name of the primary contact for this installed product at the customer’s location. Lookup to an existing salesforce contact record
SVMXC__Installed_Product__c,SVMXC__Country__c,Country Country “Country” part of the physical location address
SVMXC__Installed_Product__c,SVMXC__Date_Installed__c,Date Installed Date Installed Date on which the product was installed at the customer location
SVMXC__Installed_Product__c,SVMXC__Date_Ordered__c,Date Ordered Date Ordered Date on which this product was ordered by the customer
SVMXC__Installed_Product__c,SVMXC__Date_Shipped__c,Date Shipped Date Shipped Date on which this product was shipped to the customer originally
SVMXC__Installed_Product__c,SVMXC__Distributor_Company__c,Distributor Company Distributor Account Name of the distributor company if applicable
SVMXC__Installed_Product__c,SVMXC__Distributor_Contact__c,Distributor Contact Distributor Contact Name of the distributor contact if applicable
SVMXC__Installed_Product__c,SVMXC__Installation_Notes__c,Installation Notes Installation Notes Any technical information relevant for the service organization. This is normally supplied by field service engineers upon completion of installation
SVMXC__Installed_Product__c,SVMXC__Last_Date_Shipped__c,"Last Date Shipped Last Date Shipped If this product was shipped multiple times, date of the most recent shipment. Multiple shipments are possible if the product is returned for depot repair or service"
SVMXC__Installed_Product__c,SVMXC__Latitude__c,Latitude Latitude Address location north or south of the equator
SVMXC__Installed_Product__c,SVMXC__Longitude__c,Longitude Longitude East west geographic coordinate measurement.
SVMXC__Installed_Product__c,SVMXC__Parent__c,Parent Parent Serial/Lot number of the parent product in the installed product hierarchy. This is a lookup to an existing installed product record.
SVMXC__Installed_Product__c,SVMXC__Preferred_Technician__c,Preferred Technician Preferred Technician 
SVMXC__Installed_Product__c,SVMXC__ProductIQTemplate__c,ProductIQTemplate ProductIQ Template 
SVMXC__Installed_Product__c,SVMXC__Product_Name__c,Product Name Product Name Name of the product associated with the Installed Product
SVMXC__Installed_Product__c,SVMXC__Product__c,Product Product Name of the product. This is a lookup to an existing salesforce product record.
SVMXC__Installed_Product__c,SVMXC__Sales_Order_Number__c,Sales Order Number Sales Order Number Sales order reference (typically from the ERP application)
SVMXC__Installed_Product__c,SVMXC__Serial_Lot_Number__c,Serial Lot Number Serial/Lot Number Unique identification of this product. This information is Required if the product’s tracking is Serialized or Lot/Batch Tracked in the product record
SVMXC__Installed_Product__c,SVMXC__Service_Contract_End_Date__c,Service Contract End Date Service Contract End Date 
SVMXC__Installed_Product__c,SVMXC__Service_Contract_Exchange_Type__c,Service Contract Exchange Type Service Contract Exchange Type 
SVMXC__Installed_Product__c,SVMXC__Service_Contract_Line__c,Service Contract Line Service Contract Line 
SVMXC__Installed_Product__c,SVMXC__Service_Contract_Start_Date__c,Service Contract Start Date Service Contract Start Date 
SVMXC__Installed_Product__c,SVMXC__Service_Contract__c,Service Contract Service Contract 
SVMXC__Installed_Product__c,SVMXC__Site__c,Site Location Current physical location of the product. This is a lookup to an existing site record
SVMXC__Installed_Product__c,SVMXC__State__c,State State “State/Province” part of the physical location address
SVMXC__Installed_Product__c,SVMXC__Status__c,Status Status Current status of the installed product.
SVMXC__Installed_Product__c,SVMXC__Street__c,Street Street “Street” part of the physical location address
SVMXC__Installed_Product__c,SVMXC__Top_Level__c,Top Level Top-Level Serial/Lot number of the top-most product in the installed product hierarchy.
SVMXC__Installed_Product__c,SVMXC__Warranty_End_Date__c,Warranty End Date Warranty End Date 
SVMXC__Installed_Product__c,SVMXC__Warranty_Exchange_Type__c,Warranty Exchange Type Warranty Exchange Type 
SVMXC__Installed_Product__c,SVMXC__Warranty_Start_Date__c,Warranty Start Date Warranty Start Date 
SVMXC__Installed_Product__c,SVMXC__Warranty__c,Warranty Warranty 
SVMXC__Installed_Product__c,SVMXC__Zip__c,Zip Zip “Zip/Postal Code” part of the physical location address
SVMXC__Installed_Product__c,SVMXC__SM_External_Company__c,SM External Company Account (External) External system unique ID of the account related to the installed product.
SVMXC__Installed_Product__c,SVMXC__SM_External_ID__c,SM External ID External Record ID External System Unique ID
SVMXC__Installed_Product__c,SVMXC__SM_External_Parent__c,SM External Parent Parent (External) External system unique ID to the parent installed product in the installed product hierarchy.
SVMXC__Installed_Product__c,SVMXC__SM_External_Product__c,SM External Product Product (External) External system unique ID of the product related to installed product
SVMXC__Installed_Product__c,SVMXC__SM_External_Site__c,SM External Site Location (External) External system unique ID of the location related to the installed product.
SVMXC__Installed_Product__c,SVMXC__SM_External_Top_Level__c,SM External Top Level Top-Level (External) External system unique ID to the top level installed product in the installed product hierarchy.
SVMXC__Installed_Product__c,SVMXC__SM_Batch_Lot2__c,SM Batch Lot2 Batch/Lot Identification number assigned to a specific quantity or lot of materials from a single manufacturer.
SVMXC__Installed_Product__c,SVMXC__SM_Sales_Price__c,SM Sales Price Sales Price Sales Price
